채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),Retention_Index
추동,2015-01-05,,,,,,,0.0,73.22,970.717,65.2,6.2879,16.073,29.395,3.2,6.1,4.1,7.64,33.02320122469808
추동,2015-01-12,,,,,,,28.0,73.23,971.292,65.2,0.0,30.533,50.526,-1.8,,8.9,12.35,19.223607647547798
추동,2015-01-19,,,,,,,0.0,73.09,963.255,64.7,0.7291,30.604,50.5,1.8,0.0,2.3,5.16,19.074356435643566
추동,2015-01-26,,,,,,,0.0,72.95,955.257,64.1,1.7979,30.833,50.631,5.3,0.3,0.0,1.82,18.86703798068377
추동,2015-02-02,,,,,,,0.0,72.83,948.432,63.7,0.0,34.534,60.825,-0.5,,8.0,13.14,15.592799013563502
추동,2015-02-09,,,,,,,16.0,72.58,934.307,62.7,0.0,24.158,63.262,-4.5,0.0,9.1,14.99,14.768850178622237
추동,2015-02-16,,,,,,,52.0,72.25,915.853,61.5,14.7602,41.117,60.431,4.8,17.0,0.0,1.33,15.155350730585296
추동,2015-02-23,,,,,,,132.0,72.13,909.196,61.0,0.0,42.64,55.459,3.0,,6.9,15.66,16.39402080816459
추동,2015-03-02,,,,,,,100.0,72.0,902.016,60.5,0.0,32.909,45.669,3.8,,10.5,20.08,19.75116599881758
추동,2015-03-09,,,,,,,0.0,71.75,888.302,59.6,0.0,22.66,60.625,4.4,,9.1,18.79,14.65240412371134
추동,2015-03-16,,,,,,,94.0,71.47,873.088,58.6,0.0,29.14,60.454,10.3,,9.3,19.06,14.442187448307804
추동,2015-03-23,,,,,,,0.0,71.68,884.484,59.4,0.0,67.272,60.968,5.3,,11.6,24.63,14.507348117045007
추동,2015-03-30,,,,,,,0.0,71.65,882.85,59.3,0.0,26.984,33.283,14.8,,10.3,22.87,26.525553585914732
추동,2015-04-06,,,,,,,0.0,71.52,875.793,58.8,1.8356,70.874,70.874,10.4,2.1,0.0,5.41,12.35704207466772
추동,2015-04-13,,,,,,,0.0,71.4,869.308,58.3,2.3573,42.133,79.621,10.8,1.5,0.2,5.43,10.918074377362757
추동,2015-04-20,,,,,,,0.0,71.35,866.614,58.2,15.2309,79.173,79.173,11.5,13.0,0.0,3.63,10.945827491695402
추동,2015-04-27,,,,,,,0.0,71.41,869.847,58.4,0.0,41.104,41.104,19.3,,12.4,27.61,21.16210101206695
추동,2015-05-04,,,,,,,0.0,71.17,856.957,57.5,0.2501,40.515,96.311,16.4,,11.8,27.61,8.897810218978101
추동,2015-05-11,,,,,,,0.0,70.48,820.52,55.1,5.0741,36.565,97.025,18.2,10.0,5.3,16.62,8.456789487245555
추동,2015-05-18,,,,,,,44.0,69.72,781.161,52.4,0.0,26.619,97.357,18.7,,5.6,18.34,8.023675750074467
추동,2015-05-26,,,,,,,486.0,68.75,732.942,49.2,0.0,22.067,95.459,22.3,,13.3,31.86,7.678081689521155
추동,2015-06-01,,,,,,,0.0,67.98,696.142,46.7,0.0,13.356,89.685,23.3,,12.5,28.27,7.762078385460223
추동,2015-06-08,,,,,,,0.0,67.07,654.301,43.9,0.1095,18.42,86.352,22.0,,1.3,12.78,7.577137761719474
추동,2015-06-15,,,,,,,540.0,66.25,618.097,41.5,0.0,14.476,74.786,24.9,0.0,5.1,19.87,8.264875778889097
추동,2015-06-22,,,,,,,0.0,65.54,587.871,39.5,1.4345,21.935,75.354,24.4,,7.1,23.5,7.801457122382355
추동,2015-06-29,,,,,,,2232.0,65.37,580.787,39.0,0.0,39.02,58.253,25.7,,10.1,26.28,9.970078794225191
추동,2015-07-06,,,,,,,1502.0,64.99,565.161,37.9,1.6656,15.469,43.803,24.3,,8.5,23.09,12.902335456475583
추동,2015-07-13,,,,,,,422.0,66.36,622.872,41.8,1.7676,141.798,46.512,23.9,4.6,0.1,6.15,13.391640866873065
추동,2015-07-20,,,,,,,532.0,66.62,634.259,42.6,0.1075,34.014,54.435,27.4,,4.2,19.86,11.65167631119684
추동,2015-07-27,,,,,,,68.0,66.63,634.7,42.6,1.5451,32.112,47.431,25.7,4.0,2.3,8.13,13.381543716135019
추동,2015-08-03,,,,,,,70.0,66.45,626.798,42.1,0.0273,25.151,50.478,29.0,,13.0,27.86,12.417251079678275
추동,2015-08-10,,,,,,,58.0,66.11,612.055,41.1,0.0,26.452,51.372,26.3,,1.6,14.28,11.914175036985126
추동,2015-08-17,,,,,,,84.0,65.77,597.55,40.1,0.167,19.712,49.139,26.8,,11.2,23.9,12.160402124585358
추동,2015-08-24,,,,,,,504.0,65.38,581.202,39.0,0.5442,14.46,43.338,26.5,0.0,4.3,15.03,13.410909594351377
추동,2015-08-31,,,,,,,478.0,65.37,580.787,39.0,0.1042,29.424,39.036,25.3,,10.0,20.98,14.87824059842197
추동,2015-09-07,,,,,,,2044.0,65.29,577.473,38.8,0.0,26.495,36.07,22.6,,12.2,26.26,16.009786526199058
추동,2015-09-14,,,,,,,1540.0,65.13,570.884,38.3,0.0,18.881,33.135,19.9,,11.1,22.54,17.229032744831752
추동,2015-09-21,,,,,,,1566.0,64.91,561.908,37.7,0.0,14.739,28.84,21.9,,10.6,21.9,19.48363384188627
추동,2015-09-30,,,,,,,2014.0,64.59,549.024,36.9,0.0,10.494,29.006,21.1,,1.7,11.49,18.92794594221885
추동,2015-10-05,,,,,,,1074.0,64.59,549.024,36.9,0.0,19.553,28.804,17.8,,10.8,19.85,19.060686015831134
추동,2015-10-12,,,,,,,1592.0,64.55,547.427,36.7,0.8777,14.791,19.406,13.6,0.7,8.3,16.28,28.209162114809857
추동,2015-10-19,,,,,,,2048.0,64.52,546.232,36.7,0.0,14.944,19.553,17.1,,8.7,14.34,27.93596890502736
추동,2015-10-26,,,,,,,2000.0,64.44,543.054,36.5,0.0,10.197,19.38,16.9,,7.4,13.75,28.021362229102166
추동,2015-11-02,,,,,,,1146.0,64.44,543.054,36.5,0.0,14.667,19.257,9.4,,6.8,11.73,28.200342732512848
추동,2015-11-09,,,,,,,1306.0,64.46,543.847,36.5,2.3447,27.826,18.643,13.1,1.7,0.7,4.44,29.171646194282033
추동,2015-11-16,,,,,,,1870.0,64.84,559.072,37.5,10.9552,68.202,16.853,11.7,26.3,0.1,3.76,33.173440930398144
추동,2015-11-25,,,,,,,1762.0,65.35,579.957,38.9,7.824,39.346,20.169,5.7,8.7,0.0,1.61,28.754871337200655
추동,2015-11-30,,,,,,,1286.0,65.52,587.035,39.4,0.0,33.784,19.279,6.9,0.0,5.3,8.0,30.4494527724467
추동,2015-12-07,,,,,,,782.0,65.68,593.75,39.9,0.0,23.737,18.862,2.1,,8.7,11.5,31.47863429116743
추동,2015-12-14,,,,,,,222.0,65.9,603.068,40.5,5.2425,48.791,19.264,7.2,9.9,0.0,2.04,31.30544019933555
추동,2015-12-21,,,,,,,304.0,66.12,612.485,41.1,1.2627,28.862,18.906,4.3,1.2,5.1,6.95,32.396329207658944
추동,2015-12-28,,,,,,,388.0,66.2,615.934,41.3,0.0,23.722,18.724,-3.2,,7.5,11.12,32.89542832728049
추동,2016-01-05,,,,,,,100.0,66.22,616.798,41.4,0.0,14.02,19.026,-0.6,,4.8,7.72,32.4186902133922
추동,2016-01-11,,,,,,,186.0,66.2,615.934,41.3,0.0,18.8,18.8,-1.8,,8.7,11.6,32.76244680851064
추동,2016-01-18,,,,,,,32.0,66.16,614.208,41.2,0.3891,18.608,18.608,-3.1,3.5,4.3,6.16,33.007738607050726
추동,2016-01-25,,,,,,,0.0,66.07,610.336,41.0,0.0,14.502,19.472,-7.8,0.1,7.8,12.09,31.3442892358258
추동,2016-02-01,,,,,,,0.0,65.99,606.908,40.7,0.0,14.829,19.78,-3.9,,9.3,14.95,30.682912032355915
추동,2016-02-11,,,,,,,0.0,65.87,601.791,40.4,0.0273,18.415,18.415,6.8,0.4,4.1,9.97,32.67939180016292
추동,2016-02-15,,,,,,,0.0,65.9,603.068,40.5,0.055,29.205,19.353,-3.3,0.0,9.1,17.51,31.161473673332296
추동,2016-02-22,,,,,,,0.0,65.99,606.908,40.7,0.0,23.467,18.519,2.9,,1.6,9.29,32.772179923322
추동,2016-03-02,,,,,,,0.0,65.99,606.908,40.7,0.0,19.524,19.524,3.0,,10.6,19.68,31.085228436795738
추동,2016-03-07,,,,,,,0.0,66.7,637.791,42.8,0.0,235.318,17.399,9.0,,3.2,9.72,36.65676188286683
추동,2016-03-14,,,,,,,0.0,67.25,662.438,44.5,0.0,27.869,17.367,4.4,,6.0,11.89,38.1434905280129
추동,2016-03-21,,,,,,,0.0,67.35,666.987,44.8,0.0,19.082,19.082,9.5,,10.3,21.51,34.95372602452573
추동,2016-03-28,,,,,,,0.0,67.34,666.531,44.7,0.0,12.934,18.211,9.4,,11.6,24.33,36.60046125967822
추동,2016-04-04,8.7,8.2,12.8,2.2,2.0,5.8,0.0,67.29,664.255,44.6,1.5744,14.068,19.333,13.5,,6.8,19.2,34.358609631200544
추동,2016-04-11,10.0,8.2,11.5,2.3,2.3,4.0,0.0,67.98,696.142,46.7,0.0,63.217,19.821,13.2,,11.4,26.86,35.12143685989607
추동,2016-04-18,10.2,7.8,11.2,1.8,3.1,5.0,0.0,68.52,721.814,48.4,0.688,102.719,19.447,12.3,1.7,9.6,23.73,37.11698462487787
추동,2016-04-25,12.1,7.9,11.3,2.7,2.0,4.2,0.0,69.76,783.195,52.6,0.0,78.752,19.986,17.7,,11.6,26.84,39.187181026718704
추동,2016-05-02,13.9,8.0,11.8,3.0,1.8,5.8,0.0,70.28,810.13,54.4,1.9942,53.058,41.082,19.8,6.3,8.3,22.04,19.719828635412103
추동,2016-05-09,14.5,7.8,11.2,3.6,1.1,5.9,0.0,70.21,806.512,54.1,0.0,32.096,56.013,20.0,,2.9,18.29,14.398657454519485
추동,2016-05-16,15.2,7.8,10.4,4.4,1.3,3.6,12.0,70.06,798.79,53.6,7.7333,39.989,51.877,15.9,5.2,11.7,29.91,15.397767796904214
추동,2016-05-23,16.9,7.8,9.9,4.0,1.3,3.3,0.0,69.46,768.03,51.6,0.0,18.688,76.933,23.1,,10.5,26.78,9.983102179818802
추동,2016-05-30,17.9,7.7,8.6,3.9,1.7,7.3,0.0,68.82,736.351,49.4,0.0,14.136,76.405,22.0,,12.2,29.85,9.63747136967476
추동,2016-06-07,20.1,8.0,8.2,2.7,2.7,7.8,0.0,67.93,693.797,46.6,0.4327,18.523,78.317,21.9,1.2,4.1,17.95,8.858830139050271
추동,2016-06-13,22.1,8.2,9.7,2.7,2.5,7.3,0.0,67.26,662.892,44.5,0.0552,13.498,76.749,24.6,,8.7,24.26,8.637141852011103
추동,2016-06-20,23.1,8.3,8.6,2.3,3.0,8.0,0.0,66.6,633.378,42.5,3.2715,18.06,69.136,24.2,2.2,5.8,19.67,9.161334181902339
추동,2016-06-27,23.3,8.4,8.2,2.1,3.1,12.2,166.0,66.09,611.195,41.0,0.0,19.59,59.453,23.3,5.5,5.1,16.32,10.280305451364944
추동,2016-07-04,23.3,8.3,6.3,2.2,8.5,13.1,596.0,68.11,702.264,47.1,92.556,842.346,34.864,22.1,179.1,0.0,3.42,20.14295548416705
추동,2016-07-11,23.7,8.0,7.7,1.3,20.3,7.7,0.0,75.16,1086.143,72.9,2.6503,112.51,233.834,27.1,0.3,2.8,16.95,4.644931874748753
추동,2016-07-18,23.0,7.8,5.8,2.1,14.2,5.9,298.0,73.87,1008.537,67.7,0.0,53.888,238.627,24.3,,8.3,20.07,4.226416122232606
추동,2016-07-25,24.3,8.1,5.8,1.8,8.0,7.6,1896.0,72.73,942.767,63.3,0.0,19.243,71.677,29.2,,6.7,15.99,13.152991894192
추동,2016-08-01,24.7,8.4,5.8,1.9,8.6,5.7,7470.0,72.23,914.741,61.4,0.0,28.364,73.431,28.7,,4.9,19.06,12.45715024989446
추동,2016-08-08,25.6,8.1,4.1,1.9,7.0,3.3,372.0,71.83,892.677,59.9,3.1546,12.666,50.74,29.7,,11.9,24.82,17.59316121403232
추동,2016-08-16,26.1,8.4,4.0,2.6,5.0,3.9,3414.0,71.4,869.308,58.3,0.0,7.393,51.137,29.9,0.0,9.0,23.67,16.999589338443787
추동,2016-08-22,25.6,8.3,4.7,1.9,5.1,4.5,2056.0,71.03,849.489,57.0,0.0,9.266,52.426,30.3,,11.4,23.9,16.203582192042116
추동,2016-08-29,25.0,7.7,5.6,1.8,5.3,7.2,182.0,70.53,823.129,55.2,0.3895,9.225,51.602,20.5,3.1,9.9,22.85,15.95149412813457
추동,2016-09-05,24.6,8.3,5.5,1.8,7.9,7.2,5008.0,70.27,809.613,54.3,0.9667,21.206,45.176,26.2,0.0,5.0,13.15,17.921307774039313
추동,2016-09-12,24.6,8.1,5.6,1.8,4.1,8.3,8258.0,69.97,793.931,53.3,1.4279,12.911,39.471,23.5,9.8,5.7,15.95,20.114286438144465
추동,2016-09-19,23.5,7.8,4.9,2.9,5.1,7.3,4648.0,70.74,834.142,56.0,0.0,209.011,39.286,20.0,,0.4,10.3,21.232551035992465
추동,2016-09-26,23.2,7.7,5.6,2.3,4.4,10.4,5108.0,70.91,843.119,56.6,0.5478,26.573,38.839,22.1,,2.5,9.8,21.708051185663898
추동,2016-10-04,22.8,7.8,5.5,1.9,3.9,11.5,2614.0,70.89,842.06,56.5,0.1241,33.386,27.261,22.1,,8.7,19.62,30.888815524008656
추동,2016-10-10,22.2,7.6,7.3,2.5,4.4,9.9,1374.0,72.68,939.942,63.1,0.0,171.047,27.866,12.7,,6.3,13.15,33.730783033086915
추동,2016-10-17,21.4,8.3,5.4,2.1,4.0,6.1,820.0,73.02,959.251,64.4,1.4919,41.29,28.07,17.6,1.0,6.9,14.43,34.17353045956537
추동,2016-10-24,20.4,7.2,6.5,1.5,5.7,5.7,0.0,73.06,961.537,64.5,0.1019,14.845,28.092,15.5,0.0,8.9,15.78,34.22814324362808
추동,2016-10-31,18.8,7.4,6.3,1.8,3.9,4.3,0.0,73.08,962.682,64.6,0.0,21.6,28.227,7.8,0.0,0.0,2.68,34.105005845467105
추동,2016-11-07,17.5,7.6,7.4,2.4,4.7,5.6,0.0,73.02,959.251,64.4,0.8621,21.412,28.025,14.3,2.7,5.2,10.18,34.228403211418374
추동,2016-11-14,16.4,7.3,8.5,2.9,3.4,7.8,80.0,72.95,955.257,64.1,0.0525,15.103,28.299,15.3,0.1,6.7,10.67,33.755857097423934
추동,2016-11-21,15.5,7.6,9.1,3.0,2.9,13.2,0.0,72.84,949.0,63.7,0.4316,18.787,31.933,8.7,0.1,0.0,2.33,29.718473052954625
추동,2016-11-28,13.4,7.6,12.0,3.4,3.4,18.1,48.0,72.7,941.072,63.2,0.0,19.574,32.655,2.8,,8.0,11.58,28.81861889450314
추동,2016-12-05,12.4,7.5,10.1,3.2,2.3,17.6,0.0,72.55,932.621,62.6,0.0,12.735,32.256,8.9,0.2,3.7,6.22,28.913101438492063
추동,2016-12-12,11.1,7.6,10.0,4.4,2.4,7.6,0.0,72.43,925.892,62.1,0.0,21.906,28.383,4.3,0.0,6.5,8.18,32.621357855054086
추동,2016-12-19,10.1,8.5,10.2,3.8,1.5,2.8,0.0,72.29,918.078,61.6,2.6928,15.676,28.568,7.8,1.8,0.9,3.97,32.136586390366844
추동,2016-12-26,9.5,8.4,10.1,3.0,1.9,2.4,0.0,72.34,920.864,61.8,11.6639,41.378,28.472,3.1,10.8,0.0,1.48,32.34279291935937
추동,2017-01-02,8.5,8.3,10.3,3.2,2.6,2.0,14.0,72.43,925.892,62.1,0.0273,28.643,28.643,4.7,,4.5,7.77,32.32524526062214
추동,2017-01-09,8.4,8.6,11.1,3.0,2.0,3.3,0.0,72.39,923.656,62.0,0.0974,15.215,28.153,4.3,0.0,6.4,8.35,32.80843959791141
추동,2017-01-16,6.7,7.7,11.5,4.2,1.7,3.4,104.0,72.29,918.078,61.6,0.0,15.17,28.062,-3.9,,9.1,13.58,32.71605730168911
추동,2017-01-23,5.7,7.7,11.2,4.7,1.8,2.8,36.0,72.18,911.966,61.2,0.0273,21.941,28.361,-6.5,0.0,8.9,14.14,32.155636261062725
추동,2017-01-31,5.1,8.0,11.3,4.9,1.3,2.0,64.0,72.04,904.221,60.7,0.0273,22.375,28.763,-4.2,,7.9,13.67,31.436950248583248
추동,2017-02-06,5.0,8.7,13.2,3.7,2.2,1.9,152.0,71.93,898.163,60.3,0.0,15.727,28.455,0.0,,8.7,14.07,31.564329643296436
추동,2017-02-13,4.6,7.1,12.4,3.8,2.0,1.9,84.0,71.79,890.488,59.8,0.3237,15.905,28.569,0.3,0.6,5.7,11.33,31.169729427001297
추동,2017-02-20,5.2,7.8,12.5,2.8,3.4,1.5,78.0,71.68,884.484,59.4,16.4878,28.326,28.326,1.3,15.3,7.0,15.09,31.225164160135567
추동,2017-02-27,5.4,7.7,12.7,4.3,2.0,1.5,42.0,72.05,904.773,60.7,0.0,47.323,28.166,4.2,,10.1,18.64,32.12287864801534
추동,2017-03-06,5.9,7.9,12.3,2.1,2.5,1.5,72.0,72.09,906.983,60.9,0.0505,21.771,28.17,1.8,0.0,10.8,21.82,32.19676961306354
추동,2017-03-13,6.5,7.6,12.5,4.5,1.6,1.9,100.0,72.04,904.221,60.7,0.0,21.991,28.379,8.0,,9.3,20.41,31.862327777582014
추동,2017-03-20,7.0,7.5,12.6,4.9,2.3,2.1,94.0,71.94,898.713,60.3,0.9673,22.42,28.785,8.6,0.1,2.3,7.39,31.221573736320998
추동,2017-03-27,7.2,7.6,12.2,2.8,1.6,2.1,0.0,71.83,892.677,59.9,2.4137,22.769,29.109,6.4,1.6,5.2,10.9,30.666701020302998
추동,2017-04-03,8.2,7.7,12.4,5.3,1.7,1.9,76.0,71.8,891.035,59.8,0.055,31.806,31.806,12.0,,11.7,25.31,28.014682764258314
추동,2017-04-10,9.2,7.7,13.0,5.4,1.6,2.0,14.0,71.85,893.772,60.0,0.0,30.971,30.971,15.1,,10.3,25.92,28.858351360950568
추동,2017-04-17,10.2,7.9,12.1,3.2,2.5,2.0,0.0,71.94,898.713,60.3,20.059,42.955,30.232,13.7,26.8,1.9,3.39,29.72720957925377
추동,2017-04-24,11.0,8.0,11.4,6.7,1.5,2.1,0.0,72.09,906.983,60.9,0.0,23.729,30.128,15.2,,12.0,29.0,30.10432156133829
추동,2017-05-02,12.6,8.4,10.8,6.0,1.7,2.2,6.0,71.95,899.263,60.4,0.0,21.471,46.954,20.0,,11.5,25.0,19.15199982962048
추동,2017-05-08,13.2,8.2,11.1,3.4,2.1,3.5,0.0,71.62,881.219,59.1,0.0,16.896,48.38,18.2,,4.2,16.62,18.21453079785035
추동,2017-05-15,13.2,7.8,10.5,3.7,1.9,2.6,0.0,71.26,861.778,57.8,0.0,11.605,48.904,16.7,,13.2,31.16,17.62183052511042
추동,2017-05-22,15.0,8.6,10.2,4.2,2.1,4.7,0.0,70.84,839.415,56.3,0.0,12.299,49.031,21.7,,13.3,30.86,17.120087291713407
추동,2017-05-29,16.2,8.1,11.3,2.9,2.0,4.0,0.0,70.38,815.315,54.7,0.0553,6.787,48.93,24.1,,12.2,28.74,16.662885755160435
추동,2017-06-05,17.4,8.3,10.4,2.8,2.3,4.8,0.0,69.74,782.177,52.5,0.0,5.473,70.36,22.6,,12.3,29.88,11.116785105173394
추동,2017-06-12,18.1,8.3,10.4,2.2,2.4,4.8,0.0,69.01,745.661,50.0,0.0,7.247,70.052,22.1,,9.1,25.05,10.644392736824072
추동,2017-06-19,20.1,8.6,10.4,2.4,3.2,7.2,0.0,68.35,713.664,47.9,0.0,9.746,54.047,26.1,,12.4,28.64,13.204507188188058
추동,2017-06-26,20.8,8.7,10.1,1.7,2.6,8.8,0.0,67.71,683.543,45.9,7.3157,13.381,61.787,23.9,1.8,4.1,15.51,11.062893488921619
추동,2017-07-03,21.8,8.4,9.1,1.5,3.0,9.7,0.0,67.78,686.794,46.1,59.3482,218.4,47.361,25.3,69.9,0.6,8.72,14.501256307932687
추동,2017-07-10,22.5,8.5,9.3,0.9,4.1,10.7,0.0,69.84,787.273,52.8,7.4904,208.715,26.742,25.8,35.0,0.6,7.68,29.43957071273652
추동,2017-07-17,23.2,8.4,8.5,1.7,3.3,6.1,68.0,71.27,862.314,57.9,8.7191,207.667,28.468,25.6,7.1,0.0,8.58,30.290642124490656
추동,2017-07-24,24.0,8.1,6.3,2.1,3.1,4.8,0.0,71.65,882.85,59.3,9.8736,45.252,32.661,28.8,0.7,0.0,8.75,27.030709408774992
추동,2017-07-31,24.5,7.8,5.4,2.2,3.2,3.1,0.0,72.27,916.965,61.5,24.6416,105.136,28.029,25.1,29.2,0.0,3.86,32.714866745156804
추동,2017-08-07,25.2,8.2,5.3,3.2,3.2,4.6,0.0,72.8,946.731,63.5,2.3229,82.981,37.109,29.4,,11.2,24.26,25.512166859791424
추동,2017-08-14,25.5,8.0,5.2,1.9,2.9,4.0,1088.0,73.38,979.947,65.8,60.365,207.751,27.812,22.4,65.0,0.2,6.15,35.234682870703296
추동,2017-08-21,25.3,7.9,4.0,1.9,4.4,9.8,14422.0,74.87,1068.399,71.7,21.5679,137.929,236.821,24.7,36.1,0.1,6.86,4.511420017650462
추동,2017-08-28,26.1,8.2,4.6,1.8,3.8,8.2,3202.0,74.3,1034.027,69.4,13.679,107.174,238.924,24.8,35.2,3.8,12.7,4.327849023120323
추동,2017-09-04,26.1,8.3,6.4,1.6,4.0,10.2,8500.0,73.99,1015.613,68.2,0.0,33.891,40.731,22.4,,8.5,21.18,24.934644374063982
추동,2017-09-11,25.3,7.8,5.7,2.1,4.1,11.0,3302.0,74.12,1023.311,68.7,57.5816,139.915,30.308,20.4,77.0,0.3,6.29,33.763725748977166
추동,2017-09-18,25.0,7.9,8.7,1.6,4.5,12.6,5440.0,74.67,1056.263,70.9,0.0,37.49,30.492,21.3,,10.8,21.21,34.6406598452053
추동,2017-09-25,24.6,8.2,9.5,1.6,6.4,13.2,3242.0,74.61,1052.638,70.7,0.0,23.91,30.896,23.1,,8.3,18.79,34.07036509580528
추동,2017-09-29,23.4,8.2,8.3,1.9,3.7,10.8,5190.0,74.71,1058.683,71.1,0.0,52.044,31.028,15.8,,10.5,19.62,34.12024622921233
추동,2017-10-10,23.3,8.4,12.3,1.9,3.5,17.7,2448.0,74.75,1061.107,71.2,0.0,22.434,29.454,22.3,,5.0,12.58,36.025904800706186
추동,2017-10-16,21.9,7.6,8.2,2.3,3.8,11.8,2080.0,74.72,1059.289,71.1,0.0,22.195,29.208,16.0,,4.4,11.15,36.267084360449196
추동,2017-10-23,21.0,7.6,8.2,2.9,4.7,8.7,1432.0,74.56,1049.623,70.4,0.0,20.258,41.189,13.0,,9.8,16.83,25.483090145427177
추동,2017-10-30,19.8,7.6,8.2,3.0,4.6,9.5,5614.0,74.3,1034.027,69.4,0.0,6.568,41.156,7.0,,9.9,16.92,25.124574788609195
추동,2017-11-06,18.6,7.7,8.6,2.8,5.7,10.7,3832.0,74.13,1023.905,68.7,0.0,17.725,38.35,9.2,,9.2,14.46,26.69895697522816
추동,2017-11-13,17.1,7.7,8.8,2.6,2.8,10.1,208.0,73.88,1009.125,67.7,0.0525,17.479,37.928,7.3,0.0,1.5,6.49,26.606333052098716
추동,2017-11-20,14.9,7.8,9.1,3.0,3.2,9.5,176.0,73.6,992.723,66.6,0.0,11.487,38.494,3.7,,7.7,11.92,25.789032056943938
추동,2017-11-27,13.4,7.8,9.4,2.3,1.9,6.9,886.0,73.42,982.263,65.9,0.0,15.036,28.451,3.1,,8.3,11.09,34.52472672313803
추동,2017-12-04,12.1,7.8,9.8,3.0,2.3,5.6,0.0,73.23,971.292,65.2,0.5061,8.608,28.601,2.3,0.0,7.4,11.67,33.960071326177406
추동,2017-12-11,10.5,7.8,10.1,3.0,2.1,6.0,0.0,73.07,962.11,64.6,0.0,8.518,28.4,-4.2,0.6,2.4,6.19,33.87711267605634
추동,2017-12-18,8.5,7.9,10.9,2.8,1.7,6.7,0.0,72.87,950.704,63.8,0.0,15.426,28.585,1.0,0.0,7.0,9.51,33.25884205002623
추동,2017-12-26,7.9,7.8,11.7,3.4,1.4,6.8,0.0,72.61,935.996,62.8,0.0273,7.711,27.274,-1.1,0.3,5.5,4.31,34.3182518149153
추동,2018-01-02,7.0,7.9,12.0,3.7,2.5,6.8,0.0,72.48,928.692,62.3,0.0,15.433,28.413,-1.0,,0.3,2.33,32.68546088058283
추동,2018-01-08,6.4,7.7,12.4,3.1,1.6,5.0,0.0,72.34,920.864,61.8,2.2279,15.521,28.436,1.5,3.6,0.0,1.05,32.38373892249262
추동,2018-01-15,5.3,7.7,13.7,3.7,1.4,4.7,0.0,72.18,911.966,61.2,0.0,15.724,28.566,5.5,,7.5,6.4,31.924875726388017
추동,2018-01-22,5.7,7.5,11.4,4.7,1.6,3.3,0.0,72.1,907.536,60.9,2.5861,22.029,28.431,3.0,0.8,1.2,6.34,31.920649994724066
추동,2018-02-05,3.3,7.5,12.8,4.1,2.4,3.4,0.0,71.76,888.848,59.7,0.0,16.602,29.252,-8.1,,9.1,8.58,30.385888144400383
추동,2018-03-05,4.4,7.6,13.2,3.1,2.9,3.1,0.0,71.24,860.705,57.8,19.4853,54.139,29.336,6.6,18.6,0.0,4.88,29.339548677392965
추동,2018-03-12,5.7,7.8,13.5,1.9,2.4,2.5,0.0,71.96,899.813,60.4,0.0,67.267,29.097,8.6,,10.3,20.14,30.92459703749527
추동,2018-03-19,5.9,8.3,13.2,2.9,2.1,2.6,0.0,72.35,921.422,61.8,19.459,87.158,29.132,8.3,22.0,0.0,2.91,31.62920499794041
추동,2018-03-26,7.1,7.6,13.0,2.2,2.9,2.2,0.0,73.1,963.827,64.7,0.0,75.976,29.618,12.4,,10.5,23.01,32.54193395907894
추동,2018-04-02,8.5,7.9,12.9,2.0,3.8,2.3,0.0,73.29,974.749,65.4,0.0,29.847,29.847,18.3,,10.3,14.24,32.65819010285791
추동,2018-04-09,8.0,8.0,12.7,1.8,3.5,2.6,0.0,74.42,1041.208,69.9,0.0,119.724,29.702,11.9,,10.9,25.58,35.05514780149485
추동,2018-04-16,9.4,8.0,12.7,2.5,2.8,2.7,0.0,74.86,1067.79,71.7,0.0,74.405,39.211,11.6,,10.9,26.77,27.231899211955827
추동,2018-04-23,10.8,7.2,10.7,2.7,3.3,4.3,0.0,74.94,1072.666,72.0,26.2345,65.566,58.503,11.4,38.9,0.0,1.07,18.335230671931352
추동,2018-04-30,12.0,7.4,10.2,3.4,3.4,3.9,0.0,74.82,1065.357,71.5,0.0,49.48,98.784,20.3,,9.9,16.7,10.784712099125363
추동,2018-05-08,11.9,7.9,10.0,3.7,2.5,5.1,0.0,74.52,1047.214,70.3,0.0,94.976,101.941,16.5,,7.1,23.37,10.272746000137333
추동,2018-05-14,13.9,7.8,10.5,5.0,1.9,2.7,0.0,74.19,1027.471,69.0,0.0,67.234,101.692,19.6,,8.7,25.33,10.10375447429493
추동,2018-05-21,15.1,7.9,10.2,3.4,1.9,4.5,0.0,73.95,1013.251,68.0,0.0,27.532,61.708,17.5,,10.0,27.26,16.420091398197965
추동,2018-05-28,16.1,8.0,10.4,3.8,2.1,8.4,86.0,73.7,998.563,67.0,0.101,21.108,61.774,23.0,,10.9,29.34,16.16477806196782
추동,2018-06-04,17.4,8.3,10.5,2.7,1.9,11.4,342.0,73.12,964.974,64.8,0.0,31.198,84.355,23.5,0.0,7.8,24.41,11.43944045996088
추동,2018-06-11,17.4,8.4,10.5,1.8,1.9,11.7,712.0,72.35,921.422,61.8,0.5975,13.305,84.478,20.4,0.0,1.1,13.74,10.907242122209334
